Term,Canada
Canada appeared in 60 documents,Total Words(m),Frequency(f),Relative frequency(f/m)
 2 <TITLE>CANNON lt CAN> SELLS STAKE IN HBO/CANNON VENTURE</TITLE> <DATELINE> LOS ANGELES April 7 </DATELINE><BODY>Cannon Group Inc said it agreed in principle to sell its 50 pct interest in the HBO/Cannon Video joint venture to the Home Box Office unit of Time Inc lt TL> The company said it is making the sale because in the near future all of its video products will be licensed in the United States and Canada to either the Warner Brothers unit of Warner Communications Inc lt WCI> or to Media Home Entertainment Reuter 3 </BODY>,93,1,0.010752688172043012
 2 <TITLE>CANADA STOCKS CLOSE LOWER ON PROFIT TAKING</TITLE> <DATELINE> TORONTO April 7 </DATELINE><BODY>Toronto stocks higher at midsession closed lower as a bout of profit taking on Wall Street spilled over to Canadian markets analysts said The composite index dipped 10 20 points to 3871 00 although advances narrowly led declines 518 to 507 on very busy volume of 39 7 mln shares The 300 share composite index soared 139 points in the last three sessions By and large we had a good dose of profit taking today Maison Placements Canada Inc analyst John Ing commented It is more developments in the U S that appear to be influencing stock prices up here he added Interlisted issues led the Toronto market lower analyst Ing said Seagram fell 2 1/8 to 100 3/8 Northern Telecom slid 1 1/2 to 58 1/2 and leading active trader Canadian Pacific lost 1/4 to 24 3/4 Forest product stocks making strong gains in recent sessions traded mixed MacMillan Bloedel lost 3/8 to 28 3/4 third top active British Columbia Forest Products was unchanged at 20 3/4 and Canfor Corp rose 1/2 to 35 dlrs Consolidated Bathurst firmed 1/8 to 21 1/8 It said it expects the improvement in the pulp and paper sector shown in the second half of 1986 to continue this year Gold producer Galactic Resources jumped 1 1/8 to 10 3/8 It said yesterday it plans to merge with Quartz Mountain Gold and said Cornucopia Resources granted an option to enter in a Nevada joint venture Other precious metals strengthened against the lower trend Hemlo Gold advanced 7/8 to 27 1/4 and Lacana Mining climbed 1 3/8 to 18 1/2 Base metal stocks turned lower in the afternoon after early gains Falconbridge eased 1/8 to 19 3/4 Inco slipped 1/8 to 21 5/8 and Noranda lost 1/8 to 32 dlrs Montreal s market portfolio index fell 12 52 points to 1922 51 The Vancouver index rose 9 9 points to 1883 9 Reuter 3 </BODY>,333,2,0.006006006006006006
 2 <TITLE>YEUTTER BLAMES OVERPRODUCTION FOR TRADE PROBLEMS</TITLE> <DATELINE> CHICAGO April 7 </DATELINE><BODY>Over investment and over production are at the root of many of the difficult trade issues that have soured relations between the United States and some of its major trading partners trade representative Clayton Yeutter said He told a conference held by the University of Chicago s Graduate Business School that much of this was caused by governments getting their finger in the pot Yeutter referred specifically to the problems of agricultural trade where subsidized exports have been a point of contention most notably between the United States and the European Community Think of the vast waste of financial and other resources he said Yeutter said much of the problem underlying the dispute with Japan over semiconductors was due to overproduction The trade representative called for a long term approach to international trade and said the recent commitment to a free trade agreement between the United States and Canada was a step in the right direction There s a lot of work to be done in the next six months but we have set October 1 as a target date for an agreement to be reached he added We re trying to create an environment that will facilitate and foster free and open trade in the world he said Reuter 3 </BODY>,224,1,0.004464285714285714
 2 <TITLE>CANADIAN BONDS CLOSE LOWER</TITLE> <DATELINE> TORONTO April 7 </DATELINE><BODY>Canadian bonds extended mild losses from early activity to close up to 3/4 of a point lower in moderate trading dealers said The decline reflected investor concern about economic trends coupled with the sharp afternoon downturn in U S bond markets on firm oil prices and the uncertain outlook for the U S dollar traders said The benchmark Canada 9 1/2 pct of 2001 off 1/8 in early trading closed behind 5/8 at 105 3/4 7/8 while the 8 1/2 pct of 2011 lost 3/4 from last night to 96 5/8 7/8 Reuter 3 </BODY>,105,1,0.009523809523809525
 2 <TITLE>YEUTTER BLAMES OVERPRODUCTION FOR TRADE PROBLEMS</TITLE> <DATELINE> CHICAGO April 7 </DATELINE><BODY>Over investment and over production are at the root of many of the difficult trade issues that have soured relations between the United States and some of its major trading partners trade representative Clayton Yeutter said He told a conference held by the University of Chicago s Graduate Business School that much of this was caused by governments getting their finger in the pot Yeutter referred specifically to the problems of agricultural trade where subsidized exports have been a point of contention most notably between the United States and the European Community Think of the vast waste of financial and other resources he said Yeutter said much of the problem underlying the dispute with Japan over semiconductors was due to overproduction The trade representative called for a long term approach to international trade and said the recent commitment to a free trade agreement between the United States and Canada was a step in the right direction There s a lot of work to be done in the next six months but we have set October 1 as a target date for an agreement to be reached he added We re trying to create an environment that will facilitate and foster free and open trade in the world he said Reuter 3 </BODY>,224,1,0.004464285714285714
 2 <TITLE>REUTER CANADA BUSINESS HIGHLIGHTS</TITLE> <DATELINE> WASHINGTON </DATELINE><BODY>Lawmakers from Ontario asked their U S counterparts to exempt Canada from the mandatory trade retaliation provisions in a major trade bill being considered by the U S congress MONTREAL Consolidated Bathurst Inc said it expects improvement in the pulp and paper sector shown in the second half of 1986 to continue this year MONTREAL Alcan Aluminium Ltd set up a new business development position in Europe to be managed by its Geneva based Alcan Alumium S A unit TORONTO Trilon Financial Corp said the Canadian government is sympathetic to Trilon s concerns about possible limits placed on its expansion by government proposals to deregulate financial institutions MONTREAL Diamond Bathurst Inc should return to profitability this year after reporting a 6 2 mln U S dlr loss in 1986 CB Pak Inc which owns 45 pct of the company said Reuter 3 </BODY>,151,2,0.013245033112582781
 2 <TITLE>CANADIANS URGE EXEMPTION FROM U S TRADE BILL</TITLE> <DATELINE> WASHINGTON April 7 </DATELINE><BODY>A group of Canadian lawmakers from Ontario today asked their U S counterparts to exempt Canada from the mandatory trade retaliation provisions in a major trade bill being considered by the U S Congress At a meeting of the Northeast Midwest Coalition an organization of U S legislators David Cooke chairman of the Ontario Parliament s Select Committee on Economic Affairs said the exemption would help trade relations The trade legislation to be considered by the full House in late April would require President Reagan to retaliate against foreign unfair trade practices unless the trade actions would harm the U S economy Currently Reagan can reject trade sanctions on any grounds Cooke a member of the Liberal party told the U S congressmen I can understand the trade bill I think it has to do with concerns you have with the other parts of the world I would suggest to you that we are your best friends You do not have those concerns with Canada and you should sincerely consider exempting our country from that bill he added Canada is the United States largest trading partner with two way trade more than 113 billion dlrs in 1985 according to the coalition But the U S ran up a 23 billion dlr deficit in manufactured goods that year compared to a 14 billion dlr surplus in services trade with its neighbour Reuter 3 </BODY>,247,3,0.012145748987854251
 2 <TITLE>TRANS CANADA RESOURCES WINS FILING EXTENSION</TITLE> <DATELINE> CALGARY Alberta April 7 </DATELINE><BODY> lt Trans Canada Resources Ltd> said it received an Alberta court order extending to April 20 from April six the filing of a plan of arrangement with the court under the Companies Creditors Arrangement Act It said the order also extended the stay of legal proceedings against the company to May 20 and provided for shareholders and creditors meetings by May 15 Reuter 3 </BODY>,79,2,0.02531645569620253
 2 AUSTRALIAN EXCHANGES United States 0 7092 0 7058 United Kingdom 0 4395 0 4342 Canada 0 9297 0 9147 France 4 3241 4 2544 W Germany 1 3005 1 2798 italy 926 0000 909 0000 Japan 103 6300 101 9700 new zealand 1 2326 1 2262 switzerland 1 0791 1 0618 90 DAY AIRMAIL BUYING RATES STG 0 4506 US DLR 0 7236 90 DAY FWD BUYING RATES STG 0 4313 US DLR 0 6926 3 ,79,1,0.012658227848101266
 2 <TITLE>JAPAN MINISTRY SAYS OPEN FARM TRADE WOULD HIT U S </TITLE> <AUTHOR> By Fumiko Fujisaki Reuters</AUTHOR> <DATELINE> TOKYO April 8 </DATELINE><BODY>Japan s Agriculture Ministry angered by U S Demands that Japan open its farm products market will tell U S Officials at talks later this month that liberalisation would harm existing U S Farm exports to Japan a senior ministry official said Imports from the U S Would drop due to active sales drives by other suppliers the official who declined to be named said Japan is the largest customer for U S Farm products and it is not reasonable for the U S To demand Japan liberalise its farm import market he said Agriculture Minister Mutsuki Kato has said if the U S Insists Japan open its protected rice market it will also open its wheat market where volume and origin are regulated to protect local farmers Australia and Canada could then increase their wheat exports as they are more competitive than the U S He said End users would also buy other origins grain traders said U S Agriculture Secretary Richard Lyng who is due to visit Japan for talks between April 16 27 has said he will ask Japan to offer a share of its rice market to U S Suppliers and remove quotas on U S Beef and citrus imports Other countries are already cutting into the U S Market share here Australia the largest beef supplier to Japan has been trying to boost exports prior to the expiry of a four year beef accord next March 31 Imports of U S Corn have fallen due to increased sales from China and South America while Japanese soybean imports from Brazil are expected to rise sharply this year although the U S Will remain the largest supplier U S Feedgrain sales will also drop if Japan opens up its beef imports since Japan depends almost entirely on feedgrain imports mainly from the U S Japanese officials said An indication of the U S Position came last December when Under Secretary of Agriculture Daniel Amstutz said Japan has the potential to provide one of the largest boosts to U S Agricultural exports with the beef market alone representing some one billion dlrs in new business The U S Has also asked the General Agreement on Tariffs and Trade to investigate the legality of Japanese import controls on 12 other farm products including fruit juices purees and pulp tomato juice ketchup and sauce peanuts prepared beef products and miscellaneous beans To help calm heated trade relations with the U S Japan s top business group Keidanren has urged the government to remove residual import restrictions on agricultural products But Agriculture Minister Kato has ruled out any emotional reaction and the senior ministry official said the farm issue should not become a scapegoat for trade pressure in the industrial sector Japan is the largest buyer of U S Farm products and these issues should not be discussed on the same table the official said REUTER 3 </BODY>,509,1,0.0019646365422396855
 2 <TITLE>FINNS AND CANADIANS TO STUDY MTBE PRODUCTION PLANT</TITLE> <DATELINE> HELSINKI April 8 </DATELINE><BODY>Finland s national oil company Neste Oy lt NEOY HE> said in a statement it had agreed with Canadian firms to study the feasibility of building a plant in Edmonton Canada to produce a replacement for lead in petrol The prospective plant would cost an estimated 270 mln Canadian dlrs and would produce methyl tertiary butyl ether MTBE from raw materials available locally it said The partners in the study are Neste Oy Celanese Canada Inc Hoechst Celanese Corporation and Trade Mountain Pipe Line Company Ltd of Vancouver B C The Edmonton site was suitable because of the raw materials availability the proximity to pipeline transportation and the important capital and operating advantages gained by locating on an existing Celanese Canada site the statement said The partners would look into the feasibility of a plant producing 500 000 tonnes per annum of MTBE an octane enhancer that can replace tetra ethyl lead Most of the MTBE would be targeted for the United States where lead levels in gasoline are being lowered because of health concerns the statement added Canadian lead limits are currently 11 times as high as the U S Limit but lead is scheduled for virtual elimination in Canada by 1993 which should create a Canadian demand for MTBE it said Finland s Neste Oy whose turnover last year was over five billion dlrs has extensive experience with MTBE It has a major investment in an MTBE plant in Saudi Arabia The Edmonton Alberta plant would be scheduled to go on stream in late 1989 the statement said REUTER 3 </BODY>,277,4,0.01444043321299639
 2 <TITLE>ECONOMIC SPOTLIGHT AUSTRALIAN MARKETS BOOMING</TITLE> <AUTHOR> By Peter Bale Reuters</AUTHOR> <DATELINE> SYDNEY April 8 </DATELINE><BODY>Australian markets are booming as foreign fund managers redirect capital away from the United States and other traditional markets analysts said High short term interest rates a bullish stock market and an increasingly stable currency reflect a massive inflow of fresh funds in the last two months largely from Japanese and U S Investors analysts polled by Reuters said Fund managers want quality markets to park their cash in and have settled on Australia Britain and Canada as they diversify from volatile U S Dollar instruments they said A one percentage point fall in key 10 year bonds rates in the past month record share prices and a 10 month high for the currency of 0 71 U S Dlrs all illustrated the inflow Official figures on the latest inflow of investment capital are not available but brokers said they received almost daily inquiries from Japan and the United States These people have got trillions of dollars sloshing about and they don t know what to do with it Some of that is ending up here with the attraction of high interest rates and reasonable currency stability National Australia Bank Ltd economist Brian Hamley said There is a flight to quality Hamley said Australia may not be in the best economic position but there aren t too many other countries where you d want to put your money The stronger Australian dollar was also attracting investors taking advantage of an appreciating currency against the volatility of the U S Unit analysts said We re looking a more favoured market than perhaps the U S Where some people would be concerned about the value of the U S Dollar Lloyds Bank NZA Ltd chief economist Will Buttrose said Why not put the money in Australia where entry is cheap and the currency looks stable But turning that capital into more permanent productive investment depends on government economic policy he said It will only disappear if people lose confidence in the direction in the economy Buttrose said adding that offshore investors would carefully watch the government s promised tough economic statement on May 14 While happy to invest in bonds and other vehicles yielding interest unobtainable elsewhere fund managers could just as easily reverse the flow particularly the Japanese who were badly hurt in the past by rapid falls in the Australian dollar and hefty jumps in bond rates analysts said It will remain very edgy money If something was not to be delivered if the statement wasn t considered tough enough one might see a substantial outflow Buttrose said Offshore investors are eager to see Australia take tough economic decisions to curb its 100 billion dlr foreign debt and stubborn current account deficit analysts said They are giving us the benefit of the doubt and I think they would like to leave the money here Buttrose said Reserve Bank policy has also reflected the increased interest in investment in Australia and the need to shield Japanese investors from rapid currency fluctuations Reserve Governor Bob Johnston last week acknowledged an element of targeting the rate against the yen in currency policy when he said authorities could not take their eyes off the yen because of the crucial role of Japanese investors Analysts said they believed the Reserve Bank had worked successfully in recent months to keep the Australian dollar within the range of 100 to 103 yen Apart from its recovery against a weak U S Dollar the Australian dollar has also risen almost three pct on a trade weighted basis in the last three weeks Offshore buying has also played a role in the booming Australian share market It has followed Wall Street and other markets but is also setting its own trend in response to the weight of both domestic and offshore funds pouring into equities particularly in the gold sector The key all ordinaries index rose to a record 1 758 3 today nearly 20 pct above its level at the end of 1986 while the gold index has nearly doubled to a record 3 081 0 in the same period The property sector is also sought after with Japanese companies that have invested heavily in the United States in recent years turning their attention to undervalued real estate particularly in the tourism field Analysts pointed to the recent sale of Sydney s five star Regent Hotel to Japanese interests for more than 145 mln dlrs as indicative of the type of property being sought They think they find good value real estate here which with long term and fixed capital investment is the kind of investment Australia needs Buttrose added REUTER 3 </BODY>,791,1,0.0012642225031605564
 2 <TITLE>NATIONAL BANK MORTGAGE ISSUES CANADIAN DLR BOND</TITLE> <DATELINE> LONDON April 8 </DATELINE><BODY>National Bank Mortgage Corp is issuing a 100 mln Canadian dlr eurobond due May 18 1992 with a nine pct coupon and priced at 101 3/4 pct McLeod Young Weir International Ltd said as lead manager The non callable bonds will be guaranteed by the National Bank of Canada They will be issued in denominations of 1 000 and 10 000 dlrs and listed in Luxembourg Gross fees of 1 7/8 pct comprise 1 1/4 pct for selling and 5/8 pct for management and underwriting combined Pay date is May 18 There will be two co leads REUTER 3 </BODY>,113,1,0.008849557522123894
 2 <TITLE>STOLTENBERG SEES MOVES TO STRENGTHEN PARIS ACCORD</TITLE> <DATELINE> WASHINGTON April 8 </DATELINE><BODY>West German Finance Minister Gerhard Stoltenberg said today s meetings of major industrial countries would look at ways of strengthening the Paris accord on stabilizing foreign exchange rates Stoltenberg told journalists he saw no fundamental weakness of the February 22 agreement of the Group of Five countries and Canada to keep exchange rates near the then current levels But he declined to say what measures would be discussed ahead of a communique of the Group of Seven ministers later today Stoltenberg and Bundesbank President Karl Otto Poehl said the importance of the Paris agreement also known as the Louvre accord had been underestimated Stoltenberg said there is greater agreement now among major countries than six months ago at the time of the annual meeting of the International Monetary Fund and World Bank marked by sharp discord between the United States and its major trading partners There is no fundamental weakness of the Paris accord he said We will be looking at ways of strengthening it but I do not want to discuss that here Stoltenberg said the Louvre agreement was working despite a slight firming of the yen against the dollar And Poehl noted that the dollar/mark parity was unchanged since February 22 without the Bundesbank having had to sell marks to support the dollar The Louvre agreement has been honored by the market he said Poehl said West Germany had lived up to its side of the bargain in Paris by preparing the way for tax cuts to be accelerated as a way of stimulating growth Poehl said however that Japan had not yet fulfilled its pledges for economic stimulation And we will have to see if the United States is able to do what they promised in Paris on reducing the budget deficit and get it through Congress he added Stoltenberg reiterated West German concern about a further fall in the dollar noting that the mark was up 85 pct against the dollar and nearly 20 pct on a trade weighted basis You cannot expect that to go unnoticed in an economy And it is not just a German problem it is a European problem he said REUTER 3 </BODY>,375,1,0.0026666666666666666
